Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,9000,200,800,3000,1000,37500,500,525,750,100
AR100293190078169088,DYLAN BILLINGS FOR SENATE,FEC ID C00714477,US,US-Federal,1,100,50,3750,100,300,1000,500,15000,200,225,750,50
AR10057920054034432,ARCHERD FOR CONGRESS,FEC ID C00732347,US,US-Federal,3,1400,1250,98000,2450,9300,31000,9500,420000,5300,6000,13500,1050
AR100609299671154688,"PS:Digital, s.r.o.",,"AT, CZ, EU, SK",EU-Parliament,55,3300,3050,237250,5950,22700,77000,22500,1027500,13100,14625,32250,2550
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,143,152100,135200,10723750,264450,1001100,3474000,1009000,43732500,582400,639600,1428000,120950
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,317,141100,125600,9999000,245700,933700,3227000,938000,41182500,540600,595275,1329000,109600
AR101044156519940096,DELEGACION ESPAÑOLA DEL GRUPO DE LA ALIANZA PROGRESISTA DE SOCIALISTAS Y DEMOCRATAS EN EL PARLAMENTENO EUROPEO,,"ES, EU",EU-Parliament,3,1800,1650,139000,3250,12600,45000,12500,577500,7500,8025,17250,1450
AR101121809528651776,"PETE FOR AMERICA, INC.",FEC ID C00697441,US,US-Federal,3948,7186200,6488650,510008500,12690750,48243400,165052000,48470000,2154517500,27786000,30928125,68857500,5588500
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,20,23500,20600,1713750,40250,152900,531000,153500,6652500,88600,96000,213000,18150
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,233,53500,48400,3802500,94625,360200,1221000,361500,16230000,207000,230850,513750,41200
AR101209633019920384,VAN DREW FOR CONGRESS,FEC ID C00661868,US,US-Federal,2,6200,5600,441250,10925,41600,142000,41500,1845000,23800,26625,58500,4750
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,10,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,5,1900,1650,138250,3275,12400,43000,12500,540000,7200,7800,17250,1500
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,88,721100,654450,53060250,1280075,4918800,17246000,4885000,224235000,2882800,3144525,6978750,575950
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,27,2600,2350,187500,4600,17600,60000,17500,787500,10100,11250,24750,2000
AR102638173502308352,HILLARY O'CONNOR MUERI FOR OHIO,FEC ID C00722637,US,US-Federal,10,0,0,250,0,0,0,0,0,0,0,0,0
AR103092134365626368,NEOS Rathausklub,,"AT, EU, SK",EU-Parliament,19,20800,18650,1461000,36500,138200,478000,139500,6127500,80200,88575,198000,16600
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,8,13900,12500,979250,24475,92800,321000,93500,4125000,53700,59325,133500,11050
AR103201123455729664,LANDRIC A. ‘LANNY’ BOSE,Registered in Texas 00084101,US,US-Federal,4,2700,2450,197250,4800,18300,62000,18500,825000,10600,11775,26250,2100
AR103258779096711168,CAMPAIGN FOR AMERICAN PRINCIPLES,EIN ID 46-2413647,US,US-Federal,102,77100,70150,5470250,137175,520600,1807000,523500,23362500,303800,333225,756750,62050
AR103361033678094336,SCOTT GELFAND,,US,US-Federal,3,300,300,25000,575,2300,8000,2000,105000,1300,1425,3000,250
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,23,10600,9550,753500,18675,71100,245000,71500,3157500,40900,45450,102750,8250
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,11,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350
AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,FEC ID C00575092,US,US-Federal,5,45200,39650,3315500,77525,294500,1024000,295500,12817500,170800,184800,410250,35000
AR104074891602427904,Advictory LLC,EIN ID 47-3889825,US,US-Federal,108,68700,59250,4812500,115900,438800,1529000,441500,19177500,255400,275775,612000,52350
AR104129661025386496,FW Niederösterreich,,"AT, EU",EU-Parliament,15,3300,2950,232750,5800,22100,74000,22000,997500,12600,14175,31500,2500
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950
