Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AT,,,1124800,1014500,79536750,1984300,7526200,26173000,7575000,334950000,4391900,4824375,10857750,891550
BE,,,439600,392750,30707750,768225,2914400,10117000,2933000,127537500,1688400,1869675,4215000,342050
BG,,,10900,9750,767500,19100,72600,251000,73000,3195000,41900,46425,105000,8500
CY,,,7100,6300,493000,12325,46800,162000,47000,2055000,27100,30000,67500,5500
CZ,,,61900,55500,4352750,108575,412500,1431000,414500,18157500,239100,264525,594750,48300
DE,,,1032500,926350,72674750,1811925,6884500,23829000,6918000,303825000,3987000,4412925,9938250,807300
DK,,,664600,593800,46376250,1161450,4407100,15291000,4434500,192915000,2547800,2823150,6340500,520050
EE,,,24000,21450,1679000,41950,159200,552000,160000,6975000,92200,102075,230250,18650
ES,,,1170100,1050450,82282500,2054600,7805600,26946000,7846000,343417500,4497700,4999800,11181750,910650
FI,,,235900,210000,16373750,410725,1560000,5399000,1567500,67732500,901500,999225,2213250,181650
FR,,,16100,14400,1136750,28200,107000,371000,107500,4725000,62100,68625,154500,12550
GB,,,2312800,2086300,164490250,4080450,15518800,53278000,15589500,691177500,8940400,9963975,21993750,1767850
GR,,,1193100,1059300,82839250,2072125,7848500,27113000,7908500,343312500,4521800,5019075,11263500,939700
HR,,,109700,98350,7763500,192375,731300,2517000,735000,32370000,421100,469425,1042500,84450
HU,,,96100,86650,6792000,169500,643700,2230000,647500,28612500,373200,412650,927750,75650
IE,,,94800,85950,6749750,168075,640000,2166000,642000,28875000,367700,409875,912000,73100
IN,IN-AN,,5600,5050,395500,9900,37500,130000,38000,1627500,21700,24075,54000,4350
IN,IN-AP,,603300,537150,41703750,1050600,3990500,13807000,4010000,172230000,2306200,2554500,5601000,461150
IN,IN-AR,,5600,5050,396500,9925,37600,130000,38000,1635000,21800,24150,54000,4400
IN,IN-AS,,21200,18850,1478250,36900,140100,484000,141000,6060000,80900,89700,198750,16250
IN,IN-BR,,206000,183800,14410250,359500,1363800,4721000,1372500,59445000,789300,874725,1959000,158600
IN,IN-CH,,107500,95850,7509750,187500,711000,2463000,715500,30937500,411400,456150,1020750,82750
IN,IN-CT,,15700,14000,1096750,27375,103900,360000,104500,4507500,60100,66600,148500,12100
IN,IN-DD,,5800,5200,406000,10150,38500,134000,39000,1672500,22300,24675,54750,4500
IN,IN-DL,,826800,744500,58429000,1456250,5537800,18878000,5561500,246457500,3186300,3549900,7893000,634850
IN,IN-DN,,5800,5200,407250,10175,38600,134000,39000,1680000,22400,24750,55500,4500
IN,IN-GA,,6700,6000,468500,11700,44400,154000,44500,1927500,25700,28500,63750,5150
IN,IN-GJ,,108400,96300,7547250,188375,715600,2471000,719000,30907500,412800,458250,1011000,83100
IN,IN-HP,,42900,38250,2994000,74800,283700,983000,285500,12330000,164100,181950,406500,33000
IN,IN-HR,,143900,128550,10061000,251475,954300,3296000,960000,41670000,551300,611925,1365000,110600
IN,IN-JH,,25700,22950,1798250,44875,170400,589000,171500,7410000,98500,109200,242250,19800
